 

Task 1:
For different lists of SNPs covered by different assays, group alleles into indistinguishable allels.    
TODO: Compare that to alleles claimed to be discoverable by manufacturer.




** ASSAY: florida_stanford_chip **
3 set(s) of mutually indistinguishable haplotypes:  [{'*VIII', '*X', '*VII', '*VI', '*III', '*IV', '*IX', '*28b', '*60a', '*60b', '*60c', '*V', '*II', '*36b', '*37b'}, {'*1e IA', '*1k IB', '*1d IA', '*1j IB', '*1f IA', '*28d', '*364L IA', '*1b IB', '*1h IA', '*I', '*1L IA', '*1i IA', '*1c IB', '*1a', '*1b', '*533P IB', '*1a IA', '*1g IA'}, {'*6a', '*6c', '*6b'}]
3 rsids were used to define haplotypes for this gene
3 out of these rsids are present in the 1000genomes samples: {'rs4124874', 'rs35350960', 'rs4148323'}
0 out of these rsids are not present in the 1000genomes samples: set() 



** ASSAY: hypothetical_assay_covering_all_rsids_in_pharmgkb **
5 set(s) of mutually indistinguishable haplotypes:  [{'*1e IA', '*1k IB', '*1j IB', '*1f IA', '*533P IB', '*1c IB', '*1b IB', '*1h IA', '*I', '*1L IA', '*1i IA', '*1a', '*1b', '*1d IA', '*1a IA', '*1g IA'}, {'*II', '*III', '*IV', '*60a'}, {'*X', '*36b'}, {'*IX', '*37b'}, {'*6a', '*6c', '*6b'}]
9 rsids were used to define haplotypes for this gene
7 out of these rsids are present in the 1000genomes samples: {'rs10929302', 'rs35350960', 'rs873478', 'rs4148323', 'rs887829', 'rs4124874', 'rs34946978'}
2 out of these rsids are not present in the 1000genomes samples: {'rs13404099', 'rs8175347'} 



** ASSAY: veracode_adme_corepanel **
3 set(s) of mutually indistinguishable haplotypes:  [{'*VIII', '*X', '*VII', '*VI', '*III', '*IV', '*IX', '*28b', '*60a', '*60b', '*60c', '*V', '*II', '*36b', '*37b'}, {'*1e IA', '*1k IB', '*1d IA', '*1j IB', '*1f IA', '*28d', '*364L IA', '*1b IB', '*1h IA', '*I', '*1L IA', '*1i IA', '*1c IB', '*1a', '*1b', '*533P IB', '*1a IA', '*1g IA'}, {'*6a', '*6c', '*6b'}]
3 rsids were used to define haplotypes for this gene
3 out of these rsids are present in the 1000genomes samples: {'rs4124874', 'rs35350960', 'rs4148323'}
0 out of these rsids are not present in the 1000genomes samples: set() 



** ASSAY: taqman **
3 set(s) of mutually indistinguishable haplotypes:  [{'*VIII', '*X', '*VII', '*VI', '*III', '*IV', '*IX', '*28b', '*60a', '*60b', '*60c', '*V', '*II', '*36b', '*37b'}, {'*1e IA', '*1k IB', '*1d IA', '*1j IB', '*1f IA', '*28d', '*364L IA', '*1b IB', '*1h IA', '*I', '*1L IA', '*1i IA', '*1c IB', '*1a', '*1b', '*533P IB', '*1a IA', '*1g IA'}, {'*6a', '*6c', '*6b'}]
3 rsids were used to define haplotypes for this gene
3 out of these rsids are present in the 1000genomes samples: {'rs4124874', 'rs35350960', 'rs4148323'}
0 out of these rsids are not present in the 1000genomes samples: set() 



** ASSAY: dmet_plus **
6 set(s) of mutually indistinguishable haplotypes:  [{'*VIII', '*VI'}, {'*1e IA', '*1k IB', '*1j IB', '*1f IA', '*533P IB', '*364L IA', '*1b IB', '*1h IA', '*I', '*1L IA', '*1i IA', '*1c IB', '*1a', '*1b', '*1d IA', '*1a IA', '*1g IA'}, {'*III', '*IV', '*60a', '*60b', '*60c', '*II'}, {'*X', '*36b'}, {'*IX', '*37b'}, {'*6a', '*6c', '*6b'}]
6 rsids were used to define haplotypes for this gene
5 out of these rsids are present in the 1000genomes samples: {'rs4124874', 'rs10929302', 'rs35350960', 'rs4148323', 'rs887829'}
1 out of these rsids are not present in the 1000genomes samples: {'rs8175347'} 

 

Task 2:
For different lists of SNPs covered by different assays, calculate how many samples in 1000genomes would be assigned an allele 
that actually does not match the 'correct' allele ('correct' allele = the allele inferred based on 'hypothetical_assay_covering_all_rsids_in_pharmgkb'). 
TODO: Also generate statistics on inferred alleles, ethnicities etc.



Task 3:

Generate statistics



    
    SNP variant counts in gene definitions and in sample data.
    
    
sample	gene	maternal_or_paternal_haplotype	florida_stanford_chip	hypothetical_assay_covering_all_rsids_in_pharmgkb	veracode_adme_corepanel	taqman	dmet_plus
NA20278	UGT1A1	paternal_haplotype	set()	{'*1e IA', '*1k IB', '*1j IB', '*1f IA', '*533P IB', '*1c IB', '*1b IB', '*1h IA', '*I', '*1L IA', '*1i IA', '*1a', '*1b', '*1d IA', '*1a IA', '*1g IA'}	set()	set()	set()
HG01351	UGT1A1	maternal_haplotype	set()	{'*28b'}	set()	set()	set()
HG01351	UGT1A1	paternal_haplotype	set()	{'*1e IA', '*1k IB', '*1j IB', '*1f IA', '*533P IB', '*1c IB', '*1b IB', '*1h IA', '*I', '*1L IA', '*1i IA', '*1a', '*1b', '*1d IA', '*1a IA', '*1g IA'}	set()	set()	set()
HG01350	UGT1A1	maternal_haplotype	set()	{'*1e IA', '*1k IB', '*1j IB', '*1f IA', '*533P IB', '*1c IB', '*1b IB', '*1h IA', '*I', '*1L IA', '*1i IA', '*1a', '*1b', '*1d IA', '*1a IA', '*1g IA'}	set()	set()	set()
HG01350	UGT1A1	paternal_haplotype	set()	{'*1e IA', '*1k IB', '*1j IB', '*1f IA', '*533P IB', '*1c IB', '*1b IB', '*1h IA', '*I', '*1L IA', '*1i IA', '*1a', '*1b', '*1d IA', '*1a IA', '*1g IA'}	set()	set()	set()
HG00512	UGT1A1	maternal_haplotype	set()	{'*6a', '*6c', '*6b'}	set()	set()	set()
HG00512	UGT1A1	paternal_haplotype	set()	{'*28b'}	set()	set()	set()
HG00513	UGT1A1	maternal_haplotype	set()	{'*X', '*VII', '*III', '*IV', '*IX', '*60a', '*II', '*36b', '*37b'}	set()	set()	set()
HG00513	UGT1A1	paternal_haplotype	set()	{'*1e IA', '*1k IB', '*1j IB', '*1f IA', '*533P IB', '*1c IB', '*1b IB', '*1h IA', '*I', '*1L IA', '*1i IA', '*1a', '*1b', '*1d IA', '*1a IA', '*1g IA'}	set()	set()	set()
NA20276	UGT1A1	maternal_haplotype	set()	{'*28b'}	set()	set()	set()
NA20276	UGT1A1	paternal_haplotype	set()	{'*1e IA', '*1k IB', '*1j IB', '*1f IA', '*533P IB', '*1c IB', '*1b IB', '*1h IA', '*I', '*1L IA', '*1i IA', '*1a', '*1b', '*1d IA', '*1a IA', '*1g IA'}	set()	set()	set()
HG01455	UGT1A1	maternal_haplotype	set()	set()	set()	set()	set()
HG01455	UGT1A1	paternal_haplotype	set()	{'*X', '*VII', '*III', '*IV', '*IX', '*60a', '*II', '*36b', '*37b'}	set()	set()	set()
HG01456	UGT1A1	maternal_haplotype	set()	{'*1e IA', '*1k IB', '*1j IB', '*1f IA', '*533P IB', '*1c IB', '*1b IB', '*1h IA', '*I', '*1L IA', '*1i IA', '*1a', '*1b', '*1d IA', '*1a IA', '*1g IA'}	set()	set()	set()
HG01456	UGT1A1	paternal_haplotype	set()	{'*1e IA', '*1k IB', '*1j IB', '*1f IA', '*533P IB', '*1c IB', '*1b IB', '*1h IA', '*I', '*1L IA', '*1i IA', '*1a', '*1b', '*1d IA', '*1a IA', '*1g IA'}	set()	set()	set()
HG01489	UGT1A1	maternal_haplotype	set()	{'*1e IA', '*1k IB', '*1j IB', '*1f IA', '*533P IB', '*1c IB', '*1b IB', '*1h IA', '*I', '*1L IA', '*1i IA', '*1a', '*1b', '*1d IA', '*1a IA', '*1g IA'}	set()	set()	set()
HG01489	UGT1A1	paternal_haplotype	set()	{'*1e IA', '*1k IB', '*1j IB', '*1f IA', '*533P IB', '*1c IB', '*1b IB', '*1h IA', '*I', '*1L IA', '*1i IA', '*1a', '*1b', '*1d IA', '*1a IA', '*1g IA'}	set()	set()	set()
HG00101	UGT1A1	maternal_haplotype	set()	{'*1e IA', '*1k IB', '*1j IB', '*1f IA', '*533P IB', '*1c IB', '*1b IB', '*1h IA', '*I', '*1L IA', '*1i IA', '*1a', '*1b', '*1d IA', '*1a IA', '*1g IA'}	set()	set()	set()
HG00101	UGT1A1	paternal_haplotype	set()	{'*1e IA', '*1k IB', '*1j IB', '*1f IA', '*533P IB', '*1c IB', '*1b IB', '*1h IA', '*I', '*1L IA', '*1i IA', '*1a', '*1b', '*1d IA', '*1a IA', '*1g IA'}	set()	set()	set()
HG00452	UGT1A1	maternal_haplotype	set()	{'*6a', '*6c', '*6b'}	set()	set()	set()
HG00452	UGT1A1	paternal_haplotype	set()	{'*6a', '*6c', '*6b'}	set()	set()	set()
HG00103	UGT1A1	maternal_haplotype	set()	{'*28b'}	set()	set()	set()
HG00103	UGT1A1	paternal_haplotype	set()	{'*28b'}	set()	set()	set()
HG00102	UGT1A1	maternal_haplotype	set()	{'*X', '*VII', '*III', '*IV', '*IX', '*60a', '*II', '*36b', '*37b'}	set()	set()	set()
HG00102	UGT1A1	paternal_haplotype	set()	{'*1e IA', '*1k IB', '*1j IB', '*1f IA', '*533P IB', '*1c IB', '*1b IB', '*1h IA', '*I', '*1L IA', '*1i IA', '*1a', '*1b', '*1d IA', '*1a IA', '*1g IA'}	set()	set()	set()
HG00457	UGT1A1	maternal_haplotype	set()	{'*60b', '*60c'}	set()	set()	set()
HG00457	UGT1A1	paternal_haplotype	set()	{'*6a', '*6c', '*6b'}	set()	set()	set()
HG00104	UGT1A1	maternal_haplotype	set()	{'*28b'}	set()	set()	set()
HG00104	UGT1A1	paternal_haplotype	set()	{'*X', '*VII', '*III', '*IV', '*IX', '*60a', '*II', '*36b', '*37b'}	set()	set()	set()
HG00106	UGT1A1	maternal_haplotype	set()	{'*28b'}	set()	set()	set()
HG00106	UGT1A1	paternal_haplotype	set()	{'*1e IA', '*1k IB', '*1j IB', '*1f IA', '*533P IB', '*1c IB', '*1b IB', '*1h IA', '*I', '*1L IA', '*1i IA', '*1a', '*1b', '*1d IA', '*1a IA', '*1g IA'}	set()	set()	set()
HG00109	UGT1A1	maternal_haplotype	set()	{'*28b'}	set()	set()	set()
HG00109	UGT1A1	paternal_haplotype	set()	{'*28b'}	set()	set()	set()
HG00108	UGT1A1	maternal_haplotype	set()	{'*1e IA', '*1k IB', '*1j IB', '*1f IA', '*533P IB', '*1c IB', '*1b IB', '*1h IA', '*I', '*1L IA', '*1i IA', '*1a', '*1b', '*1d IA', '*1a IA', '*1g IA'}	set()	set()	set()
HG00108	UGT1A1	paternal_haplotype	set()	{'*1e IA', '*1k IB', '*1j IB', '*1f IA', '*533P IB', '*1c IB', '*1b IB', '*1h IA', '*I', '*1L IA', '*1i IA', '*1a', '*1b', '*1d IA', '*1a IA', '*1g IA'}	set()	set()	set()
HG00458	UGT1A1	maternal_haplotype	set()	{'*X', '*VII', '*III', '*IV', '*IX', '*60a', '*II', '*36b', '*37b'}	set()	set()	set()
HG00458	UGT1A1	paternal_haplotype	set()	{'*1e IA', '*1k IB', '*1j IB', '*1f IA', '*533P IB', '*1c IB', '*1b IB', '*1h IA', '*I', '*1L IA', '*1i IA', '*1a', '*1b', '*1d IA', '*1a IA', '*1g IA'}	set()	set()	set()
NA19108	UGT1A1	maternal_haplotype	set()	{'*28b'}	set()	set()	set()
NA19108	UGT1A1	paternal_haplotype	set()	{'*1e IA', '*1k IB', '*1j IB', '*1f IA', '*533P IB', '*1c IB', '*1b IB', '*1h IA', '*I', '*1L IA', '*1i IA', '*1a', '*1b', '*1d IA', '*1a IA', '*1g IA'}	set()	set()	set()
HG00329	UGT1A1	maternal_haplotype	set()	{'*28b'}	set()	set()	set()
HG00329	UGT1A1	paternal_haplotype	set()	{'*1e IA', '*1k IB', '*1j IB', '*1f IA', '*533P IB', '*1c IB', '*1b IB', '*1h IA', '*I', '*1L IA', '*1i IA', '*1a', '*1b', '*1d IA', '*1a IA', '*1g IA'}	set()	set()	set()
HG00328	UGT1A1	maternal_haplotype	set()	{'*28b'}	set()	set()	set()
HG00328	UGT1A1	paternal_haplotype	set()	{'*28b'}	set()	set()	set()
NA19372	UGT1A1	maternal_haplotype	set()	{'*X', '*VII', '*III', '*IV', '*IX', '*60a', '*II', '*36b', '*37b'}	set()	set()	set()
NA19372	UGT1A1	paternal_haplotype	set()	{'*28b'}	set()	set()	set()
NA19373	UGT1A1	maternal_haplotype	set()	{'*28b'}	set()	set()	set()
NA19373	UGT1A1	paternal_haplotype	set()	{'*X', '*VII', '*III', '*IV', '*IX', '*60a', '*II', '*36b', '*37b'}	set()	set()	set()
NA19374	UGT1A1	maternal_haplotype	set()	{'*28b'}	set()	set()	set()
NA19374	UGT1A1	paternal_haplotype	set()	{'*1e IA', '*1k IB', '*1j IB', '*1f IA', '*533P IB', '*1c IB', '*1b IB', '*1h IA', '*I', '*1L IA', '*1i IA', '*1a', '*1b', '*1d IA', '*1a IA', '*1g IA'}	set()	set()	set()
NA19375	UGT1A1	maternal_haplotype	set()	{'*X', '*VII', '*III', '*IV', '*IX', '*60a', '*II', '*36b', '*37b'}	set()	set()	set()
NA19375	UGT1A1	paternal_haplotype	set()	{'*28b'}	set()	set()	set()
NA19376	UGT1A1	maternal_haplotype	set()	set()	set()	set()	set()
NA19376	UGT1A1	paternal_haplotype	set()	{'*1e IA', '*1k IB', '*1j IB', '*1f IA', '*533P IB', '*1c IB', '*1b IB', '*1h IA', '*I', '*1L IA', '*1i IA', '*1a', '*1b', '*1d IA', '*1a IA', '*1g IA'}	set()	set()	set()
NA19377	UGT1A1	maternal_haplotype	set()	set()	set()	set()	set()
NA19377	UGT1A1	paternal_haplotype	set()	{'*X', '*VII', '*III', '*IV', '*IX', '*60a', '*II', '*36b', '*37b'}	set()	set()	set()
HG00321	UGT1A1	maternal_haplotype	set()	{'*28b'}	set()	set()	set()
HG00321	UGT1A1	paternal_haplotype	set()	{'*28b'}	set()	set()	set()
HG00320	UGT1A1	maternal_haplotype	set()	{'*1e IA', '*1k IB', '*1j IB', '*1f IA', '*533P IB', '*1c IB', '*1b IB', '*1h IA', '*I', '*1L IA', '*1i IA', '*1a', '*1b', '*1d IA', '*1a IA', '*1g IA'}	set()	set()	set()
HG00320	UGT1A1	paternal_haplotype	set()	{'*1e IA', '*1k IB', '*1j IB', '*1f IA', '*533P IB', '*1c IB', '*1b IB', '*1h IA', '*I', '*1L IA', '*1i IA', '*1a', '*1b', '*1d IA', '*1a IA', '*1g IA'}	set()	set()	set()
HG00323	UGT1A1	maternal_haplotype	set()	{'*28b'}	set()	set()	set()
HG00323	UGT1A1	paternal_haplotype	set()	{'*6a', '*6c', '*6b'}	set()	set()	set()
HG00325	UGT1A1	maternal_haplotype	set()	{'*28b'}	set()	set()	set()
HG00325	UGT1A1	paternal_haplotype	set()	{'*1e IA', '*1k IB', '*1j IB', '*1f IA', '*533P IB', '*1c IB', '*1b IB', '*1h IA', '*I', '*1L IA', '*1i IA', '*1a', '*1b', '*1d IA', '*1a IA', '*1g IA'}	set()	set()	set()
HG00324	UGT1A1	maternal_haplotype	set()	{'*X', '*VII', '*III', '*IV', '*IX', '*60a', '*II', '*36b', '*37b'}	set()	set()	set()
HG00324	UGT1A1	paternal_haplotype	set()	{'*1e IA', '*1k IB', '*1j IB', '*1f IA', '*533P IB', '*1c IB', '*1b IB', '*1h IA', '*I', '*1L IA', '*1i IA', '*1a', '*1b', '*1d IA', '*1a IA', '*1g IA'}	set()	set()	set()
HG00327	UGT1A1	maternal_haplotype	set()	{'*1e IA', '*1k IB', '*1j IB', '*1f IA', '*533P IB', '*1c IB', '*1b IB', '*1h IA', '*I', '*1L IA', '*1i IA', '*1a', '*1b', '*1d IA', '*1a IA', '*1g IA'}	set()	set()	set()
HG00327	UGT1A1	paternal_haplotype	set()	{'*1e IA', '*1k IB', '*1j IB', '*1f IA', '*533P IB', '*1c IB', '*1b IB', '*1h IA', '*I', '*1L IA', '*1i IA', '*1a', '*1b', '*1d IA', '*1a IA', '*1g IA'}	set()	set()	set()
HG00326	UGT1A1	maternal_haplotype	set()	{'*1e IA', '*1k IB', '*1j IB', '*1f IA', '*533P IB', '*1c IB', '*1b IB', '*1h IA', '*I', '*1L IA', '*1i IA', '*1a', '*1b', '*1d IA', '*1a IA', '*1g IA'}	set()	set()	set()
HG00326	UGT1A1	paternal_haplotype	set()	{'*1e IA', '*1k IB', '*1j IB', '*1f IA', '*533P IB', '*1c IB', '*1b IB', '*1h IA', '*I', '*1L IA', '*1i IA', '*1a', '*1b', '*1d IA', '*1a IA', '*1g IA'}	set()	set()	set()
NA19681	UGT1A1	maternal_haplotype	set()	{'*1e IA', '*1k IB', '*1j IB', '*1f IA', '*533P IB', '*1c IB', '*1b IB', '*1h IA', '*I', '*1L IA', '*1i IA', '*1a', '*1b', '*1d IA', '*1a IA', '*1g IA'}	set()	set()	set()
NA19681	UGT1A1	paternal_haplotype	set()	{'*1e IA', '*1k IB', '*1j IB', '*1f IA', '*533P IB', '*1c IB', '*1b IB', '*1h IA', '*I', '*1L IA', '*1i IA', '*1a', '*1b', '*1d IA', '*1a IA', '*1g IA'}	set()	set()	set()
NA19682	UGT1A1	maternal_haplotype	set()	{'*X', '*VII', '*III', '*IV', '*IX', '*60a', '*II', '*36b', '*37b'}	set()	set()	set()
NA19682	UGT1A1	paternal_haplotype	set()	{'*6a', '*6c', '*6b'}	set()	set()	set()
NA19684	UGT1A1	maternal_haplotype	set()	{'*28b'}	set()	set()	set()
NA19684	UGT1A1	paternal_haplotype	set()	{'*1e IA', '*1k IB', '*1j IB', '*1f IA', '*533P IB', '*1c IB', '*1b IB', '*1h IA', '*I', '*1L IA', '*1i IA', '*1a', '*1b', '*1d IA', '*1a IA', '*1g IA'}	set()	set()	set()
NA19685	UGT1A1	maternal_haplotype	set()	{'*X', '*VII', '*III', '*IV', '*IX', '*60a', '*II', '*36b', '*37b'}	set()	set()	set()
NA19685	UGT1A1	paternal_haplotype	set()	{'*1e IA', '*1k IB', '*1j IB', '*1f IA', '*533P IB', '*1c IB', '*1b IB', '*1h IA', '*I', '*1L IA', '*1i IA', '*1a', '*1b', '*1d IA', '*1a IA', '*1g IA'}	set()	set()	set()
HG00131	UGT1A1	maternal_haplotype	set()	{'*1e IA', '*1k IB', '*1j IB', '*1f IA', '*533P IB', '*1c IB', '*1b IB', '*1h IA', '*I', '*1L IA', '*1i IA', '*1a', '*1b', '*1d IA', '*1a IA', '*1g IA'}	set()	set()	set()
HG00131	UGT1A1	paternal_haplotype	set()	{'*X', '*VII', '*III', '*IV', '*IX', '*60a', '*II', '*36b', '*37b'}	set()	set()	set()
HG01183	UGT1A1	maternal_haplotype	set()	{'*28b'}	set()	set()	set()
HG01183	UGT1A1	paternal_haplotype	set()	{'*1e IA', '*1k IB', '*1j IB', '*1f IA', '*533P IB', '*1c IB', '*1b IB', '*1h IA', '*I', '*1L IA', '*1i IA', '*1a', '*1b', '*1d IA', '*1a IA', '*1g IA'}	set()	set()	set()
HG00626	UGT1A1	maternal_haplotype	set()	{'*6a', '*6c', '*6b'}	set()	set()	set()
HG00626	UGT1A1	paternal_haplotype	set()	{'*28b'}	set()	set()	set()
HG01187	UGT1A1	maternal_haplotype	set()	{'*1e IA', '*1k IB', '*1j IB', '*1f IA', '*533P IB', '*1c IB', '*1b IB', '*1h IA', '*I', '*1L IA', '*1i IA', '*1a', '*1b', '*1d IA', '*1a IA', '*1g IA'}	set()	set()	set()
HG01187	UGT1A1	paternal_haplotype	set()	{'*1e IA', '*1k IB', '*1j IB', '*1f IA', '*533P IB', '*1c IB', '*1b IB', '*1h IA', '*I', '*1L IA', '*1i IA', '*1a', '*1b', '*1d IA', '*1a IA', '*1g IA'}	set()	set()	set()
